clone_pair,start_commit,end_commit,genealogy
bentoml/loader.py^34^40+bentoml/server/prediction_logger.py^100^107,42d7226b,c71610b6,"I,b7a2fefa,7,1"
bentoml/service_env.py^134^142+bentoml/service_env.py^143^151,42d7226b,4e771b6a,"C,d55293e0,8,3-I,df20db24,18,2-I,b0628e57,7,1-I,3bb17daa,9,3-I,46267647,2,2"
bentoml/artifact/pickle_artifact.py^34^43+bentoml/artifact/pytorch_model_artifact.py^32^39,42d7226b,5bdd0a18,"C,d55293e0,4,3-I,d9dd5236,6,2-I,af3cac5a,2,1-I,27ed04a1,2,1-I,f99a8109,10,1-I,0d32b67e,2,3"
bentoml/artifact/pytorch_model_artifact.py^46^55+bentoml/artifact/pytorch_model_artifact.py^74^81,42d7226b,39536127,"C,247f2c47,9,3-I,d9dd5236,8,1-I,2b65b0f6,12,3"
bentoml/artifact/pytorch_model_artifact.py^46^55+bentoml/artifact/tf_keras_model_artifact.py^41^50,42d7226b,4e771b6a,"C,247f2c47,8,3-I,d55293e0,4,2-I,81108b6f,1,2-I,d9dd5236,8,1-I,2b65b0f6,23,3-I,83c119f0,2,1-I,3d85fe70,6,1-I,f99a8109,11,1-I,0d32b67e,1,1-I,46267647,5,1"
bentoml/artifact/pytorch_model_artifact.py^74^81+bentoml/artifact/tf_keras_model_artifact.py^41^50,42d7226b,39536127,"C,247f2c47,9,3-I,d55293e0,4,2-I,81108b6f,1,2-I,2b65b0f6,21,3"
bentoml/artifact/pytorch_model_artifact.py^58^70+bentoml/artifact/tf_keras_model_artifact.py^53^65,42d7226b,73234cc7,"C,d55293e0,6,2-I,2b65b0f6,6,2-I,ab750760,2,1-I,3d85fe70,8,1-I,0d32b67e,17,1"
examples/aws-lambda/model/text_classification_service.py^18^23+examples/tf-keras-text-classification/text_classification_service.py^15^20,70b5d432,4e771b6a,"I,1c976b05,4,2-I,2b65b0f6,2,2"
examples/aws-lambda/model/text_classification_service.py^25^38+examples/tf-keras-text-classification/text_classification_service.py^22^35,70b5d432,4e771b6a,"I,1c976b05,22,2"
bentoml/handlers/json_handler.py^39^60+bentoml/handlers/json_handler.py^79^100,66afcf4e,4e771b6a,"I,644ab074,43,3-I,d55293e0,20,3-I,6520500b,14,3-I,6f1ab265,4,3-I,acfa9674,4,1-I,769ff016,3,1-C,8d49f11e,3,1"
bentoml/cli/serverless.py^56^65+bentoml/cli/serverless.py^129^138,ac179de7,a4b1538f,"C,2406ef1e,4,2"
bentoml/artifact/pytorch_model_artifact.py^58^70+bentoml/artifact/xgboost_artifact.py^54^66,455f9148,73234cc7,"C,d55293e0,4,2-I,ab750760,2,1-I,3d85fe70,8,1-I,0d32b67e,17,1"
bentoml/artifact/tf_keras_model_artifact.py^53^65+bentoml/artifact/xgboost_artifact.py^54^66,455f9148,4e771b6a,"C,d55293e0,10,3-I,2b65b0f6,6,1"
