clone_pair,start_commit,end_commit,genealogy
jax/core.py^90^114+jax/interpreters/partial_eval.py^348^374,9584c4f55,cc1d2aaae,"I,5aef18f89,4,1-I,1fcebbaa0,11,2-I,235334544,16,2-I,1e7d13b5f,3,1-I,68b32bf70,6,1-I,abbc70b20,5,2-I,6124f703a,1,2-I,34065df24,32,3-I,042df4ebf,2,1-I,177e7cf31,2,1-I,3290e16a9,11,3-I,75278309a,9,2-I,4236eb2b5,3,1-I,6614f9489,3,1-I,bdd791566,4,2-I,2ab00151e,4,1-I,32319e1bc,3,1"
jax/core.py^411^417+jax/interpreters/xla.py^152^157,9584c4f55,dcded6a8f,"I,2206be295,3,2-I,eb0137be3,2,2-I,146cf49fa,5,2-I,d262bae88,9,2"
jax/api.py^167^177+jax/api_util.py^30^40,9584c4f55,bea4515a1,"I,87922fdf1,7,1-I,42bd253cb,8,1-I,d7096a42c,4,1-I,d55ea510e,2,1-I,670fab59c,3,1-I,26e9ebcda,25,1"
jax/scipy/misc.py^25^40+jax/scipy/special.py^24^39,9584c4f55,da2d53ad3,"I,46c6a9170,30,3"
jax/scipy/misc.py^25^40+jax/scipy/stats.py^25^40,9584c4f55,da2d53ad3,"I,46c6a9170,15,1"
jax/scipy/special.py^24^39+jax/scipy/stats.py^25^40,9584c4f55,da2d53ad3,"I,46c6a9170,15,1"
jax/abstract_arrays.py^104^110+jax/interpreters/xla.py^215^220,9584c4f55,0080c8954,"I,bfe653c6b,3,1-I,42dd736af,7,1-I,e14052046,4,2-I,1e7d13b5f,13,1"
jax/interpreters/xla.py^221^226+jax/interpreters/xla.py^227^232,9584c4f55,fc2a12c47,"I,e14052046,6,1-I,ccb203c89,5,1-I,5520948b0,2,1-I,2bd010ae8,3,3-I,40805e4f1,13,3"
jax/interpreters/partial_eval.py^51^61+jax/interpreters/partial_eval.py^198^208,9584c4f55,cc1d2aaae,"I,1c134f8a6,2,1-I,abbc70b20,6,1-I,c1ccbdf1a,13,2-I,34065df24,6,1-I,75278309a,8,2-I,75b00a123,3,2-I,7ec0b4017,3,2"
jax/interpreters/partial_eval.py^51^61+jax/interpreters/partial_eval.py^218^228,9584c4f55,cc1d2aaae,"I,1fcebbaa0,4,2-I,1c134f8a6,2,1-I,abbc70b20,8,3-I,34065df24,12,3"
jax/interpreters/partial_eval.py^198^208+jax/interpreters/partial_eval.py^218^228,9584c4f55,cc1d2aaae,"I,1fcebbaa0,4,2-I,abbc70b20,2,2-I,c1ccbdf1a,13,1-I,34065df24,6,2-I,75278309a,8,1-I,75b00a123,3,1-I,7ec0b4017,3,1"
examples/mnist_classifier.py^42^47+examples/mnist_classifier_fromscratch.py^50^56,46c6a9170,cc1d2aaae,"C,d59ecddfe,12,3"
examples/mnist_classifier.py^53^97+examples/mnist_classifier_fromscratch.py^57^97,46c6a9170,cc1d2aaae,"I,51fc71308,8,3-I,a3619ca89,8,3-I,dbf3c606f,8,3-I,2df36f751,1,1-I,e682af7ea,4,3"
jax/core.py^42^48+jax/interpreters/xla.py^222^229,3b049e385,fc2a12c47,"I,3994829a6,4,2-I,2206be295,13,2-I,eb0137be3,3,2-I,8bd1a46ce,4,2-I,52cafb374,2,2-I,a15aa9bd4,8,2-I,013c01e6a,3,2-I,47df7b95c,2,2-I,5290c03a1,2,2-I,f60184e12,8,2-I,34065df24,8,1-I,177e7cf31,2,1-I,57c2fcb0c,11,2-I,6614f9489,1,1-I,2bd010ae8,14,2-I,40805e4f1,7,2"
jax/api.py^173^183+jax/api_util.py^33^43,269de6010,bea4515a1,"I,87922fdf1,8,1-I,42bd253cb,8,1-I,d7096a42c,4,1-I,670fab59c,3,1-I,26e9ebcda,26,1"
jax/api.py^170^180+jax/api_util.py^33^43,72d3bd54b,bea4515a1,"I,87922fdf1,11,1-I,42bd253cb,6,1-I,d7096a42c,4,1-I,d55ea510e,2,1-I,670fab59c,5,1-I,26e9ebcda,23,1"
