clone_pair,start_commit,end_commit,genealogy
keras/optimizers.py^69^82+keras/optimizers.py^88^101,e5844dea,b5cb82c6,"I,3653f906,12,3-I,6fc8660a,7,3-I,f04fdec9,8,3-I,ec8f7f00,13,3-I,b64217cd,2,1-I,6cd8d3c3,5,2-I,33ed943a,8,3-I,9a93fc51,13,2-I,295bfe4e,4,1-I,59f8d6ca,6,1-I,5f7e78df,11,2-I,35339120,4,1-I,defa1283,6,1-I,e418fc69,2,1-I,b2e8d5ab,8,1-I,ea47e6de,4,3-I,e3dbd93c,2,1-I,2382f788,3,1-I,2d8739dd,9,1-I,52854217,4,1-I,36098bf0,4,3"
keras/datasets/imdb.py^6^40+keras/datasets/reuters.py^78^108,e5844dea,9a2b5092,"C,bf43f611,6,2-C,746b5d17,14,3-C,1629f7f3,4,3-I,b64217cd,8,3-I,f84fe7ce,4,3-I,908d8665,5,1-I,e0179bad,45,1-I,0f0d8be8,9,1-I,8f757443,4,1-I,3e933ca0,23,1-I,b5746331,6,1-I,10bfb1c5,12,1-I,b0500764,21,1-I,77ea18e8,2,1-I,ac1afb3e,10,1-I,ba3e2cad,8,1-I,4a6f06f0,21,1-I,60cf7ca6,2,1-I,fb4a0849,4,1-I,ee4b0bcc,18,1-I,211ec41c,1,1-I,722f710a,2,1-I,91ccb284,6,1-I,b5cb82c6,78,1"
keras/layers/recurrent.py^46^68+keras/layers/recurrent.py^108^129,e5844dea,25e85b61,"I,e074a049,21,3-I,be1ec8ae,4,3-I,5e2b9358,4,3-I,8995b50a,4,3-I,ec8f7f00,15,3-I,b64217cd,2,1-I,47ed18a3,65,3"
keras/layers/recurrent.py^46^68+keras/layers/recurrent.py^199^218,e5844dea,25e85b61,"I,e074a049,20,3-I,be1ec8ae,4,3-I,5e2b9358,4,3-I,8995b50a,2,1-I,ec8f7f00,12,3-I,b64217cd,2,1-I,47ed18a3,51,3"
keras/layers/recurrent.py^108^129+keras/layers/recurrent.py^199^218,e5844dea,32259252,"I,e074a049,21,3-I,be1ec8ae,4,3-I,5e2b9358,4,3-I,8995b50a,2,1-I,ec8f7f00,11,3-I,47ed18a3,52,3-I,40864d89,37,3-I,44e0a7bb,2,1-I,ecd414d7,1,2-I,295bfe4e,39,1-I,04ea01f3,2,1-I,ff62eb25,9,3-I,8f757443,2,1-I,03a7eb89,10,1-I,d663fda8,5,1-I,16feb385,3,1-I,6642d496,2,1-I,d440e4bf,8,1-I,a5103909,13,1-I,3f148e40,58,1-I,e32c5b4b,2,2"
keras/layers/recurrent.py^152^188+keras/layers/recurrent.py^244^285,e5844dea,9a2b5092,"C,33d82a41,4,3-C,6cd076a1,4,3-C,b0cbed3f,4,3-I,ec8f7f00,42,3-I,47ed18a3,84,3-I,1c6ab36c,2,2-I,07ffc76b,15,2-I,96f3404a,6,2-I,f10c4307,4,2-I,295bfe4e,54,2-I,3c57aff8,4,2-I,00e8d20e,2,2-I,2a3d4722,2,2-I,8f757443,5,3-I,f2fe51a9,6,2-I,023331ec,4,2-I,03a7eb89,104,3-I,d663fda8,13,2-I,f9202817,1,2-I,b2a992e0,2,2-I,7e6ccb8a,1,1-I,8830c531,6,2-I,a5103909,23,2-I,5cd2ad04,3,2-I,66f8cc7a,1,2-I,b5cb82c6,61,3"
keras/layers/core.py^121^135+keras/layers/core.py^149^163,4bb07c1a,7094be1b,"C,b0cbed3f,4,3-I,f04fdec9,3,3-I,2ab9f0ef,2,1-I,ab8f7da8,1,1"
keras/models.py^70^77+keras/models.py^78^85,616537f3,abedfa8a,"I,31ea0186,2,1-I,be1ec8ae,3,1-I,e82ab0ca,16,3"
keras/models.py^71^78+keras/models.py^79^86,03580431,abedfa8a,"I,31ea0186,2,1-I,e82ab0ca,16,3"
keras/initializations.py^20^27+keras/initializations.py^28^34,52bcd448,d8911c28,"C,ec8f7f00,2,3-C,037e592f,8,3-C,becc5f3a,8,3-C,a04d9684,10,3-I,a6525be4,8,3-I,8f757443,6,3-I,5adce526,8,3"
