clone_pair,start_commit,end_commit,genealogy
api/python/mxnet/narray.py^67^74+api/python/mxnet/narray.py^78^85,de37edb73,e36c9f075,"C,59a7ceec0,4,3-C,6f93ae6f6,4,3-C,13526846e,4,3"
api/python/mxnet/narray.py^67^74+api/python/mxnet/narray.py^86^93,de37edb73,e36c9f075,"C,59a7ceec0,4,3-C,6f93ae6f6,4,3-C,13526846e,4,3"
api/python/mxnet/narray.py^67^74+api/python/mxnet/narray.py^97^104,de37edb73,e36c9f075,"C,59a7ceec0,4,3-C,6f93ae6f6,6,3-C,13526846e,4,3"
api/python/mxnet/narray.py^78^85+api/python/mxnet/narray.py^86^93,de37edb73,e36c9f075,"C,59a7ceec0,4,3-C,6f93ae6f6,4,3-C,13526846e,4,3"
api/python/mxnet/narray.py^78^85+api/python/mxnet/narray.py^97^104,de37edb73,e36c9f075,"C,59a7ceec0,4,3-C,6f93ae6f6,6,3-C,13526846e,4,3"
api/python/mxnet/narray.py^86^93+api/python/mxnet/narray.py^97^104,de37edb73,e36c9f075,"C,59a7ceec0,4,3-C,6f93ae6f6,6,3-C,13526846e,4,3"
python/mxnet/narray.py^83^90+python/mxnet/narray.py^94^101,502dc47da,e36c9f075,"I,33b536ade,23,2"
python/mxnet/narray.py^94^101+python/mxnet/narray.py^102^109,502dc47da,e36c9f075,"I,33b536ade,23,1"
python/mxnet/narray.py^94^101+python/mxnet/narray.py^113^120,502dc47da,e36c9f075,"I,33b536ade,23,1"
python/mxnet/symbol.py^110^122+python/mxnet/symbol.py^123^135,84023c712,e36c9f075,"I,a541a1ad0,13,3-I,005250068,1,1-I,c03e1d208,48,1-I,34eb88cd6,10,3-I,1134d928e,24,1-I,e9f281a27,25,3"
python/mxnet/symbol.py^112^124+python/mxnet/symbol.py^125^137,838da47d1,e36c9f075,"I,a541a1ad0,13,3-I,005250068,1,1-I,34eb88cd6,10,3-I,1134d928e,24,1-I,e9f281a27,25,3"
python/mxnet/symbol.py^111^123+python/mxnet/symbol.py^124^136,83b878899,e36c9f075,"I,a541a1ad0,13,3-I,005250068,1,1-I,c03e1d208,48,1-I,34eb88cd6,10,3-I,1134d928e,24,1-I,e9f281a27,25,3"
python/mxnet/symbol.py^97^109+python/mxnet/symbol.py^110^122,0635103b4,e36c9f075,"I,25580a35c,3,1-I,72ea6f981,2,1-I,a541a1ad0,13,3-I,005250068,1,2-I,c03e1d208,48,2-I,34eb88cd6,7,3-I,1134d928e,41,3-I,e9f281a27,25,3-I,11796c3e8,3,1-I,e37727f91,2,1"
python/mxnet/narray.py^67^72+python/mxnet/narray.py^91^96,e6c87da3c,e36c9f075,"I,33b536ade,23,2"
python/mxnet/narray.py^76^81+python/mxnet/narray.py^91^96,e6c87da3c,e36c9f075,"I,33b536ade,23,2"
python/mxnet/narray.py^82^87+python/mxnet/narray.py^91^96,e6c87da3c,e36c9f075,"I,33b536ade,23,2"
python/mxnet/narray.py^66^71+python/mxnet/narray.py^90^95,7f9390566,e36c9f075,"C,33b536ade,23,2"
python/mxnet/narray.py^75^80+python/mxnet/narray.py^90^95,7f9390566,e36c9f075,"C,33b536ade,23,2"
python/mxnet/narray.py^81^86+python/mxnet/narray.py^90^95,7f9390566,e36c9f075,"C,33b536ade,23,2"
python/mxnet/symbol.py^98^111+python/mxnet/symbol.py^112^125,7f9390566,e36c9f075,"I,25580a35c,3,1-I,a541a1ad0,13,3-I,005250068,1,2-I,34eb88cd6,7,3-I,1134d928e,41,3-I,e9f281a27,25,3-I,11796c3e8,3,1-I,e37727f91,2,1"
python/mxnet/io.py^155^166+python/mxnet/symbol.py^391^404,5e9b53b37,e36c9f075,"I,e6b19731a,7,1"
python/mxnet/io.py^155^166+python/mxnet/symbol.py^423^436,4cbf9de24,e36c9f075,"I,e6b19731a,7,1-I,51c9a0c0b,15,2-I,b3b21e4e2,6,2-I,1134d928e,40,2"
python/mxnet/symbol.py^98^111+python/mxnet/symbol.py^126^139,4cbf9de24,e36c9f075,"I,25580a35c,3,1-I,a541a1ad0,10,3-I,34eb88cd6,5,3-I,1134d928e,17,1-I,e9f281a27,41,3-I,11796c3e8,3,1-I,e37727f91,2,1"
python/mxnet/symbol.py^112^125+python/mxnet/symbol.py^126^139,4cbf9de24,e36c9f075,"I,a541a1ad0,13,3-I,005250068,1,1-I,34eb88cd6,10,3-I,1134d928e,24,1-I,e9f281a27,28,3"
python/mxnet/narray.py^67^74+python/mxnet/symbol.py^29^34,16d8569c7,005250068,"I,a541a1ad0,5,2"
python/mxnet/narray.py^67^74+python/mxnet/symbol.py^38^43,16d8569c7,e36c9f075,"I,72ea6f981,4,2"
python/mxnet/narray.py^67^74+python/mxnet/symbol.py^44^49,16d8569c7,e36c9f075,"I,34eb88cd6,1,2-I,1134d928e,4,2-I,e9f281a27,1,2-I,e37727f91,2,2"
python/mxnet/narray.py^67^74+python/mxnet/symbol.py^53^58,16d8569c7,e36c9f075,"I,72ea6f981,2,2-I,34eb88cd6,1,2-I,e9f281a27,13,2-I,11796c3e8,3,2-I,e37727f91,2,2"
python/mxnet/narray.py^75^82+python/mxnet/symbol.py^29^34,16d8569c7,005250068,"I,a541a1ad0,5,2"
python/mxnet/narray.py^75^82+python/mxnet/symbol.py^38^43,16d8569c7,e36c9f075,"I,72ea6f981,4,2"
python/mxnet/narray.py^75^82+python/mxnet/symbol.py^44^49,16d8569c7,e36c9f075,"I,34eb88cd6,1,2-I,1134d928e,4,2-I,e9f281a27,1,2-I,e37727f91,2,2"
python/mxnet/narray.py^75^82+python/mxnet/symbol.py^53^58,16d8569c7,e36c9f075,"I,72ea6f981,2,2-I,34eb88cd6,1,2-I,e9f281a27,13,2-I,11796c3e8,3,2-I,e37727f91,2,2"
python/mxnet/narray.py^86^93+python/mxnet/symbol.py^29^34,16d8569c7,005250068,"I,a541a1ad0,5,2"
python/mxnet/narray.py^86^93+python/mxnet/symbol.py^38^43,16d8569c7,e36c9f075,"I,72ea6f981,4,2"
python/mxnet/narray.py^86^93+python/mxnet/symbol.py^44^49,16d8569c7,e36c9f075,"I,34eb88cd6,1,2-I,1134d928e,4,2-I,e9f281a27,1,2-I,e37727f91,2,2"
