clone_pair,start_commit,end_commit,genealogy
torch/optim/adam.py^3^67+torch/optim/adamax.py^2^66,554a1d8336,95c148e502,"I,09493603f6,12,3-I,604e13775f,52,3-I,95f0fa8a92,4,3-I,2748b920ab,2,1-I,ecfcf39f30,4,3-I,e7c1e6a8e3,10,3-I,57373c7c29,5,2-I,7926324385,2,1-I,a25c8555eb,4,2-I,f17cfe4293,4,3-I,b9aef6bc03,6,2-I,5c79046d39,3,2-I,be65f46c76,3,2-I,f76d6c029c,13,3-I,68c0998cbe,23,1-I,a061000250,4,1-I,df88373f88,5,1-I,063946d2b3,15,3-I,eee01731a5,1,1-I,383d340e88,2,1-I,cf235e0894,2,1-I,fed5ca192c,10,1-I,877c96cddf,10,3-I,b0871f211b,2,1-I,d19a50bf27,2,1-I,c1dd70688a,14,3-I,6a97777f72,28,3-I,6e2bb1c054,6,3-I,4b4273a04e,4,1-I,6bc77f4d35,4,3-I,08caf15502,98,1-I,e6779d4357,8,3-I,896f82aa92,25,1-I,50d903f19f,24,1-I,f8238d7917,2,1-I,4f62c622b3,1,1-I,bb245b6444,51,2-I,4611387608,22,3-I,43248d9112,36,1-I,39ce801d1f,31,2-I,3d358a7678,18,1-I,15f14ce0dc,12,1-I,e1b84e1b6b,1,1-I,7176c92687,22,3-I,d9acfef831,154,2-I,5f9590681d,192,1-I,2a496e2f80,13,2-I,ba27ee9e8f,17,1-I,bda04e9f5e,1,2"
torch/legacy/nn/Abs.py^8^15+torch/legacy/nn/Abs.py^16^24,ae40bcd58c,d8f6be686d,"C,e7c1e6a8e3,15,3"
torch/legacy/nn/AbsCriterion.py^13^25+torch/legacy/nn/AbsCriterion.py^26^35,ae40bcd58c,d8f6be686d,"C,a4f544ca14,14,3-C,0580f5a928,3,1-C,e7c1e6a8e3,4,3-I,6214487fa7,7,3-I,30ec06c140,2,1-C,c61f0217a5,6,3-C,21c786071b,4,3"
torch/legacy/nn/utils.py^47^60+torch/legacy/nn/utils.py^84^95,a4f544ca14,d8f6be686d,"C,27bbaf633b,7,3-C,e9f9fd3727,4,3-C,1e905eb4d5,2,2-C,8fdec15a55,12,3-I,e7c1e6a8e3,8,3-I,1c01eabd3c,8,3"
torch/legacy/nn/Bilinear.py^44^55+torch/legacy/nn/Linear.py^22^34,a4f544ca14,d8f6be686d,"C,27bbaf633b,1,2-C,e9f9fd3727,8,3-C,cd82b2b869,2,1-C,e7c1e6a8e3,3,3"
torch/legacy/nn/Contiguous.py^6^14+torch/legacy/nn/Contiguous.py^15^22,a4f544ca14,d8f6be686d,"C,e9f9fd3727,8,3-C,1e905eb4d5,4,3-C,8fdec15a55,8,3-C,e7c1e6a8e3,2,3"
torch/legacy/nn/Abs.py^8^15+torch/legacy/nn/AbsCriterion.py^11^23,a4f544ca14,d8f6be686d,"C,0580f5a928,3,2-C,e7c1e6a8e3,9,3-I,6214487fa7,3,2-I,30ec06c140,2,2-C,c61f0217a5,3,2-C,21c786071b,2,2"
torch/legacy/nn/Abs.py^8^15+torch/legacy/nn/AbsCriterion.py^24^33,a4f544ca14,d8f6be686d,"C,e7c1e6a8e3,7,3-I,6214487fa7,4,2-C,c61f0217a5,3,2-C,21c786071b,2,2"
torch/legacy/nn/Abs.py^8^15+torch/legacy/nn/ClassSimplexCriterion.py^71^85,a4f544ca14,d8f6be686d,"C,8fdec15a55,2,2-C,0580f5a928,3,2-C,e7c1e6a8e3,22,3-I,898c732293,3,2-I,30ec06c140,2,2-C,c61f0217a5,3,2-C,21c786071b,2,2"
torch/legacy/nn/Abs.py^8^15+torch/legacy/nn/ClassSimplexCriterion.py^86^96,a4f544ca14,d8f6be686d,"C,8fdec15a55,2,2-C,e7c1e6a8e3,6,1-I,898c732293,5,2-C,c61f0217a5,3,2-C,21c786071b,2,2"
